ID,City Name,Latitude,Longitude,Country
4737704,Troy,31.20684,-97.30278,United States
4738084,Tuscola,32.20958,-99.79675,United States
4738207,Tye,32.45762,-99.87148,United States
4738214,Tyler,32.35126,-95.30106,United States
4738279,Uhland,29.95772,-97.78611,United States
4738574,Universal City,29.54801,-98.29112,United States
4738606,University Park,32.85013,-96.80028,United States
4738721,Uvalde,29.20968,-99.78617,United States
4738725,Uvalde Estates,29.16524,-99.83228,United States
4738825,Valley Mills,31.65933,-97.47224,United States
4738850,Valley View,33.48817,-97.16501,United States
4738883,Van,32.52486,-95.63718,United States
4738884,Van Alstyne,33.4215,-96.57721,United States
4738908,Van Vleck,29.01775,-95.8894,United States
4739052,Venus,32.43347,-97.10251,United States
4739078,Vernon,34.15536,-99.26628,United States
4739157,Victoria,28.80527,-97.0036,United States
4739226,Vidor,30.1316,-94.01545,United States
4739271,Villa Pancho,25.88425,-97.41581,United States
4739277,Villa Verde,26.13202,-97.99834,United States
4739408,Volente,30.43381,-97.90362,United States
4739414,Von Ormy,29.28913,-98.64446,United States
4739526,Waco,31.54933,-97.14667,United States
4739574,Waelder,29.69523,-97.2986,United States
4739641,Wake Village,33.42679,-94.1063,United States
4739799,Waller,30.05661,-95.9269,United States
4739935,Walnut Springs,32.05765,-97.74947,United States
4740096,Warren,30.61465,-94.40853,United States
4740200,Waskom,32.47876,-94.05963,United States
4740214,Watauga,32.85791,-97.25474,United States
4740328,Waxahachie,32.38653,-96.84833,United States
4740364,Weatherford,32.7593,-97.79725,United States
4740423,Webster,29.53773,-95.11826,United States
4740482,Weimar,29.70301,-96.78053,United States
4740579,Wells,31.48851,-94.93993,United States
4740584,Wells Branch,30.44604,-97.67945,United States
4740629,Weslaco,26.15952,-97.99084,United States
4740686,West,31.80238,-97.09167,United States
4740692,West Alto Bonito Colonia,26.31424,-98.66336,United States
4740759,West Columbia,29.14386,-95.64522,United States
4740928,West Lake Hills,30.29798,-97.80195,United States
4740941,West Livingston,30.69825,-95.00188,United States
4740987,West Orange,30.08215,-93.75822,United States
4741057,West Sharyland,26.27257,-98.32863,United States
4741087,West Tawakoni,32.89373,-96.02941,United States
4741100,West University Place,29.71801,-95.43383,United States
4741196,Westlake,32.99124,-97.19501,United States
4741209,Westminster,33.36261,-96.46193,United States
4741231,Westover Hills,32.74485,-97.41363,United States
4741304,Westworth,32.75735,-97.41085,United States
4741325,Wharton,29.31164,-96.10274,United States
4741501,White Oak,32.52792,-94.86133,United States
4741616,White Settlement,32.75957,-97.45835,United States
4741641,Whitehouse,32.22682,-95.2255,United States
4741677,Whitesboro,33.65622,-96.90695,United States
4741691,Whitewright,33.51289,-96.39248,United States
4741714,Whitney,31.95182,-97.3214,United States
4741752,Wichita Falls,33.91371,-98.49339,United States
4741838,Wild Peach Village,29.08358,-95.63384,United States
4741898,Wildwood,30.52409,-94.44158,United States
4742170,Willis,30.42493,-95.47994,United States
4742296,Willow Park,32.76263,-97.65058,United States
4742380,Wills Point,32.7093,-96.0083,United States
4742385,Wilmer,32.58902,-96.68527,United States
4742503,Wimberley,29.99744,-98.09862,United States
4742527,Windemere,30.45909,-97.64917,United States
4742537,Windcrest,29.51551,-98.38029,United States
4742590,Winfield,33.16734,-95.11188,United States
4742616,Winnie,29.82022,-94.38408,United States
4742620,Winnsboro,32.95734,-95.29022,United States
4742625,Winona,32.48959,-95.16717,United States
4742656,Winters,31.95653,-99.96231,United States
4742800,Wolfe City,33.37067,-96.06886,United States
4742897,Woodbranch,30.18105,-95.18882,United States
4742902,Woodcreek,30.02827,-98.11112,United States
4743057,Woodsboro,28.23834,-97.31999,United States
4743079,Woodville,30.7752,-94.41548,United States
4743105,Woodway,31.506,-97.20501,United States
4743176,Wortham,31.78794,-96.46248,United States
4743274,Wyldwood,30.12938,-97.47277,United States
4743275,Wylie,33.01512,-96.53888,United States
4743432,Yoakum,29.28775,-97.15193,United States
4743453,Yorktown,28.98109,-97.50277,United States
4743575,Zapata,26.90726,-99.27143,United States
4743605,Zavalla,31.15852,-94.42631,United States
4743815,Abingdon,36.70983,-81.97735,United States
4743873,Accomac,37.71957,-75.66548,United States
4743963,Adwolf,36.78928,-81.58206,United States
4744091,Alexandria,38.80484,-77.04692,United States
4744247,Altavista,37.11181,-79.28558,United States
4744309,Amelia Court House,37.34293,-77.98056,United States
4744326,Amherst,37.58514,-79.05141,United States
4744468,Annandale,38.83039,-77.19637,United States
4744575,Appalachia,36.90676,-82.78183,United States
4744589,Apple Mountain Lake,38.92428,-78.10139,United States
4744609,Appomattox,37.35709,-78.82529,United States
4744645,Aquia Harbour,38.46262,-77.38887,United States
4744709,Arlington,38.88101,-77.10428,United States
4744791,Arrington,37.68403,-78.90113,United States
4744870,Ashburn,39.04372,-77.48749,United States
4744905,Ashland,37.75903,-77.47998,United States
4744971,Atkins,36.86734,-81.42344,United States
4744983,Atlantic,37.90068,-75.5077,United States
4745272,Baileys Crossroads,38.85039,-77.1297,United States
4745753,Bassett,36.7593,-79.99032,United States
4745764,Basye,38.80706,-78.79224,United States
4745934,Bealeton,38.57179,-77.76388,United States
4746265,Bedford,37.33431,-79.52309,United States
4746456,Belle Haven,37.5543,-75.82049,United States
4746457,Belle Haven,38.78539,-77.06303,United States
4746526,Bellwood,37.42181,-77.43748,United States
4746535,Belmont,39.06483,-77.50999,United States
4746658,Benns Church,36.93793,-76.58606,United States
4746664,Bensley,37.44681,-77.44332,United States
4746795,Berryville,39.15177,-77.98222,United States
4747554,Big Stone Gap,36.88176,-82.7471,United States
4747839,Blackstone,37.08043,-77.99723,United States
4747845,Blacksburg,37.22957,-80.41394,United States
4747911,Blairs,36.67986,-79.37308,United States
4747930,Bland,37.10206,-81.1162,United States
4748050,Blue Ridge,37.37847,-79.80698,United States
4748093,Blue Ridge Shores,38.10514,-78.02472,United States
4748125,Bluefield,37.25262,-81.27121,United States
4748305,Bon Air,37.52487,-77.55777,United States
4748439,Boston,37.6093,-75.84271,United States
4748550,Bowling Green,38.04958,-77.34665,United States
4748607,Boyce,39.09316,-78.05944,United States
4748634,Boydton,36.66764,-78.3875,United States
4748639,Boykins,36.58321,-77.19997,United States
4748646,Bracey,36.59959,-78.14305,United States
4748703,Brambleton,38.98205,-77.5386,United States
4748726,Brandermill,37.43209,-77.64971,United States
4748925,Bridgewater,38.38207,-78.9767,United States
4748980,Brightwood,38.42152,-78.19361,United States
4748993,Bristol,36.59649,-82.18847,United States
4749007,Bristow,38.72289,-77.5361,United States
4749103,Broadlands,39.01816,-77.52027,United States
4749117,Broadway,38.61317,-78.79891,United States
4749193,Brookneal,37.05014,-78.94418,United States
4749523,Buchanan,37.52736,-79.67976,United States
4749627,Buckhall,38.73178,-77.4311,United States
4749652,Buckingham,37.55015,-78.55556,United States
4749715,Buena Vista,37.7343,-79.35392,United States
4749854,Bull Run,38.78373,-77.52055,United States
4749866,Bull Run Mountain Estates,38.90372,-77.66166,United States
4749950,Burke,38.79345,-77.27165,United States
4750786,Cana,36.58958,-80.67173,United States
4750892,Cape Charles,37.27008,-76.01649,United States
4751066,Carrollton,36.94682,-76.56051,United States
4751296,Castlewood,36.8901,-82.27959,United States
4751421,Cave Spring,37.22764,-80.01282,United States
4751445,Cedar Bluff,37.26403,-79.93532,United States
4751446,Cedar Bluff,37.08761,-81.759,United States
4751778,Central Garage,37.74403,-77.13164,United States
4751839,Centreville,38.84039,-77.42888,United States
4751886,Chamberlayne,37.62653,-77.42859,United States
4751935,Chantilly,38.89428,-77.4311,United States
4752001,Charles City,37.34348,-77.07303,United States
4752027,Charlotte Court House,37.05654,-78.63833,United States
4752031,Charlottesville,38.02931,-78.47668,United States
4752052,Chase City,36.79931,-78.45833,United States
4752060,Chatham,36.82569,-79.39808,United States
4752081,Chatmoss,36.6568,-79.81226,United States
4752136,Cherry Hill,38.56984,-77.26693,United States
4752186,Chesapeake,36.81904,-76.27494,United States
4752229,Chester,37.35682,-77.44165,United States
4752234,Chester Gap,38.85345,-78.135,United States
4752250,Chesterfield,37.37709,-77.50582,United States
4752261,Chesterfield Court House,37.37709,-77.50499,United States
4752449,Chilhowie,36.79845,-81.68234,United States
4752495,Chincoteague,37.93318,-75.37881,United States
4752665,Christiansburg,37.12985,-80.40894,United States
4752994,Clarksville,36.62403,-78.55694,United States
4753043,Claypool Hill,37.06261,-81.75178,United States
4753158,Clifton Forge,37.81624,-79.82449,United States
4753218,Clintwood,37.15011,-82.45598,United States
4753268,Cloverdale,37.36514,-79.9056,United States
4753292,Cluster Springs,36.62097,-78.92168,United States
4753409,Coeburn,36.94399,-82.46404,United States
4753635,Collinsville,36.71514,-79.91532,United States
4753654,Colonial Beach,38.25457,-76.96358,United States
4753671,Colonial Heights,37.26804,-77.40726,United States
4753820,Concord,37.34264,-78.97502,United States
4754219,Countryside,39.04094,-77.4136,United States
4754296,Courtland,36.71626,-77.06802,United States
4754358,Covington,37.79346,-79.99395,United States
4754568,Craigsville,38.07874,-79.38309,United States
4754686,Crewe,37.17321,-78.12333,United States
4754712,Crimora,38.15402,-78.8503,United States
4754901,Crozet,38.06958,-78.70058,United States
4754966,Culpeper,38.47318,-77.99666,United States
4754989,Cumberland,37.49598,-78.24527,United States
4755143,Dahlgren,38.33124,-77.05109,United States
4755158,Dale City,38.63706,-77.31109,United States
4755173,Daleville,37.40986,-79.91254,United States
4755199,Damascus,36.63373,-81.78373,United States
4755272,Dante,36.97844,-82.29764,United States
4755280,Danville,36.58597,-79.39502,United States
4755491,Dayton,38.41485,-78.93864,United States
4755710,Deltaville,37.55486,-76.33689,United States
4755972,Dinwiddie,37.07793,-77.58665,United States
4756211,Dooms,38.10902,-78.85752,United States
4756345,Drakes Branch,36.99293,-78.60111,United States
4756348,Dranesville,39.00067,-77.34582,United States
4756549,Dryden,36.77759,-82.94155,United States
4756557,Dublin,37.10568,-80.68534,United States
4756636,Dulles Town Center,39.03761,-77.41582,United States
4756643,Dumfries,38.56762,-77.32804,United States
4756653,Dumbarton,37.60376,-77.49137,United States
4756736,Dunn Loring,38.89344,-77.22165,United States
4756955,East Hampton,37.03737,-76.33161,United States
4756970,East Lexington,37.79291,-79.42532,United States
4756972,East Highland Park,37.58098,-77.40693,United States
4757073,Eastville,37.35264,-75.94576,United States
4757240,Edinburg,38.82095,-78.56585,United States
4757467,Elkton,38.4079,-78.62363,United States
4757519,Elliston,37.21652,-80.23254,United States
4757667,Emory,36.77289,-81.83623,United States
4757673,Emporia,36.68598,-77.54248,United States
4757734,Enon,37.3307,-77.32276,United States
4757826,Esmont,37.83125,-78.60724,United States
4757863,Ettrick,37.24015,-77.42998,United States
4757978,Exmore,37.5318,-75.82299,United States
4758023,Fairfax,38.84622,-77.30637,United States
4758102,Fairfax Station,38.80095,-77.32554,United States
4758143,Fairlawn,37.77624,-79.982,United States
4758144,Fairlawn,37.14846,-80.57839,United States
4758390,Falls Church,38.88233,-77.17109,United States
4758426,Falmouth,38.32402,-77.46832,United States
4758495,Farmville,37.3021,-78.39194,United States
4758671,Ferrum,36.92292,-80.01337,United States
4758727,Fieldale,36.70014,-79.93865,United States
4758750,Fincastle,37.4993,-79.87726,United States
4759120,Fishersville,38.09902,-78.96919,United States
4759430,Floris,38.93706,-77.41277,United States
4759446,Floyd,36.91124,-80.32005,United States
4759556,Forest,37.36375,-79.28975,United States
4759700,Fort Chiswell,36.94706,-80.94147,United States
4759735,Fort Lee,37.4957,-77.33526,United States
4759968,Franconia,38.78206,-77.14637,United States
4759986,Franklin,36.67765,-76.92246,United States
4760059,Fredericksburg,38.30318,-77.46054,United States
4760232,Front Royal,38.91817,-78.19444,United States
4760363,Gainesville,38.79567,-77.61388,United States
4760376,Galax,36.66124,-80.92397,United States
4760593,Gate City,36.63788,-82.58099,United States
4760971,Glade Spring,36.79122,-81.77123,United States
4761008,Glasgow,37.63402,-79.45031,United States
4761054,Glen Allen,37.66598,-77.50637,United States
4761127,Glenvar,37.27402,-80.13393,United States
4761166,Gloucester Courthouse,37.40986,-76.52662,United States
4761171,Gloucester Point,37.25403,-76.49689,United States
4761277,Goochland,37.68431,-77.88527,United States
4761471,Gordonsville,38.13736,-78.18778,United States
4761813,Gratton,37.13484,-81.41399,United States
4761951,Great Falls,38.99817,-77.28832,United States
4762155,Greenbriar,38.87345,-77.40082,United States
4762275,Greenville,38.00347,-79.15586,United States
4762356,Gretna,36.95375,-79.35891,United States
4762454,Grottoes,38.26735,-78.82586,United States
4762493,Groveton,38.76734,-77.0847,United States
4762512,Grundy,37.27789,-82.09902,United States
4762637,Gwynn,37.5043,-76.28855,United States
4762755,Halifax,36.76597,-78.92834,United States
4762836,Hamilton,39.13427,-77.66249,United States
4762888,Hampden Sydney,37.24237,-78.45972,United States
4762894,Hampton,37.02987,-76.34522,United States
4762979,Hanover,37.76653,-77.37026,United States
4763231,Harrisonburg,38.44957,-78.86892,United States
4763242,Harriston,38.21735,-78.83225,United States
4763436,Hayfield,38.75178,-77.13581,United States
4763452,Haymarket,38.81206,-77.63638,United States
4763558,Heathsville,37.91763,-76.47217,United States
4763716,Henry Fork,36.96625,-79.87031,United States
4763793,Herndon,38.96955,-77.3861,United States
4764127,Highland Springs,37.54598,-77.32776,United States
4764251,Hillsville,36.76263,-80.73479,United States
4764534,Hollins,37.34125,-79.9431,United States
4764607,Hollymead,38.11708,-78.44168,United States
4764743,Honaker,37.01622,-81.97429,United States
4764826,Hopewell,37.30432,-77.2872,United States
4764910,Horntown,37.96957,-75.46381,United States
4764936,Horse Pasture,36.62847,-79.95087,United States
4765054,Hot Springs,37.99957,-79.83172,United States
4765392,Huntington,38.79234,-77.07081,United States
4765475,Hurt,37.09264,-79.29641,United States
4765520,Hybla Valley,38.74761,-77.08303,United States
4765553,Idylwood,38.89511,-77.21165,United States
4765594,Independent Hill,38.63595,-77.43776,United States
